, PRODUCT A ,exp,err, PRODUCT B ,exp,err, PRODUCT C ,exp,err, PRODUCT D ,exp,err
DATE, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,
03-Jan-11,210,#N/A,#N/A,702,#N/A,#N/A,18,#N/A,#N/A,516,#N/A,#N/A
04-Jan-11,"10,294","10,294",#N/A,402,402,#N/A,,0,#N/A,324,324,#N/A
05-Jan-11,"3,395",3739.95,#N/A,438,436.2,#N/A,,0,#N/A,"3,618",3453.3,#N/A
06-Jan-11,432,597.3975,#N/A,19,39.86,#N/A,,0,#N/A,414,565.965,#N/A
07-Jan-11,106,130.569875,4426.443482,,1.993,241.7656165,,0,#DIV/0!,72,96.69825,2603.317237
10-Jan-11,,6.52849375,1930.803348,216,205.29965,270.7119232,,0,#DIV/0!,546,523.5349125,1796.591029
11-Jan-11,"13,344",12677.12642,7705.617381,,10.2649825,123.5569991,,0,#DIV/0!,186,202.8767456,431.9734949
12-Jan-11,"5,066",5446.556321,8865.991045,444,422.3132491,279.2400768,18,17.1,10.39230485,"3,954",3766.443837,2189.880328
13-Jan-11,"1,283",1491.177816,9186.087177,402,403.0156625,250.691506,,0.855,10.39230485,396,564.5221919,2918.03285
14-Jan-11,343,400.4088908,5052.483185,,20.15078312,250.691506,,0.04275,10.39230485,78,102.3261096,2925.036819
17-Jan-11,"2,989",2859.570445,2907.135903,354,337.3075392,193.1043998,,0.0021375,#DIV/0!,468,449.7163055,1977.398366
18-Jan-11,"9,631",9292.428522,4237.584786,546,535.565377,227.3087788,,0.000106875,#DIV/0!,"1,218",1179.585815,565.8860523
19-Jan-11,"3,758",4034.721426,5265.705436,396,402.9782688,241.1682243,19,18.05000534,10.96959341,"2,844",2760.779291,1079.23612
20-Jan-11,"1,552",1676.136071,5248.684374,,20.14891344,144.9494598,,0.902500267,10.96959341,618,725.1389645,1628.090651
21-Jan-11,124,201.6068036,3614.919599,,1.007445672,80.57810796,,0.045125013,10.96959341,54,87.55694823,1613.712611
24-Jan-11,"2,591",2471.53034,2181.912915,396,376.2503723,228.0490576,,0.002256251,#DIV/0!,246,238.0778474,1299.61979
25-Jan-11,"5,514",5361.876517,2406.584569,132,144.2125186,268.1276825,,0.000112813,#DIV/0!,"1,842",1761.803892,1007.984455
26-Jan-11,"4,572",4611.493826,2279.599847,372,360.6106259,298.6438788,17,16.15000564,9.814889444,"2,712",2664.490195,1080.207251
27-Jan-11,280,496.5746913,3089.895646,36,52.2305313,268.8974027,,0.807500282,9.814889444,408,520.8245097,1689.890225
28-Jan-11,,24.82873456,2542.029614,,2.611526565,228.953558,,0.040375014,9.814889444,48,71.64122549,1439.697151
31-Jan-11,"2,926",2780.941437,3009.907721,360,342.1305763,278.7463479,,0.002018751,#DIV/0!,396,379.7820613,1344.187441
01-Feb-11,"5,309",5182.597072,2221.701661,348,347.7065288,206.366156,,0.000100938,#DIV/0!,168,178.5891031,352.9037985
02-Feb-11,"5,038",5045.229854,2223.269599,444,439.1853264,213.7236562,,5.04688E-06,#DIV/0!,"4,200",3998.929455,2332.509797
03-Feb-11,"1,446",1625.961493,2540.763924,14,35.25926632,251.720377,18,17.10000025,10.39230193,444,621.7464728,3101.296539
04-Feb-11,200,271.2980746,2236.718581,,1.762963316,251.6975661,,0.855000013,10.39230193,108,133.6873236,3113.048049
07-Feb-11,"2,219",2121.614904,2502.090093,504,478.8881482,379.9230636,,0.042750001,10.39230193,342,331.5843662,2077.246017
08-Feb-11,"7,254",6997.380745,3274.562859,546,542.6444074,292.5440375,,0.0021375,#DIV/0!,"1,290",1242.079218,639.2417739
09-Feb-11,"6,398",6427.969037,3188.216683,390,397.6322204,305.530335,13,12.35010688,7.504319413,"3,780",3653.103961,1570.880495
10-Feb-11,"1,363",1616.248452,4177.501063,18,36.98161102,239.3915471,,0.617505344,7.504319413,540,695.655198,2384.04549
11-Feb-11,225,294.5624226,3052.252768,,1.849080551,236.2350086,,0.030875267,7.504319413,90,120.2827599,2345.156454
14-Feb-11,"2,474",2365.028121,3283.262187,342,324.992454,294.2919586,,0.001543763,#DIV/0!,294,285.314138,1833.794988
15-Feb-11,"10,196",9804.451406,4761.289775,392,388.6496227,200.160485,,7.71882E-05,#DIV/0!,"1,620",1553.265707,852.1311027
16-Feb-11,"4,123",4407.07257,5725.759303,,19.43248114,200.160485,18,17.10000386,10.39226028,"2,826",2762.363285,1069.488446
17-Feb-11,"1,998",2118.453629,5756.348417,,0.971624057,38.6868247,,0.855000193,10.39226028,702,805.0181643,1596.489461
18-Feb-11,"3,434",3368.222681,3642.946746,,0.048581203,#DIV/0!,,0.04275001,10.39226028,48,85.85090821,1464.926158
22-Feb-11,"6,684",6518.211134,2485.201007,18,17.10242906,10.36425647,,0.0021375,#DIV/0!,,4.292545411,1267.303353
23-Feb-11,"5,806",5841.610557,2100.181435,414,394.1551215,229.383184,17,16.15010688,9.81372049,,0.214627271,437.0646409
24-Feb-11,69,357.6305278,3865.430401,,19.70775607,229.383184,,0.807505344,9.81372049,,0.010731364,#DIV/0!
25-Feb-11,302,304.7815264,3358.242204,,0.985387804,229.1489194,,0.040375267,9.81372049,,0.000536568,#DIV/0!
28-Feb-11,"1,326",1274.939076,3384.721287,429,407.5992694,247.1143516,,0.002018763,#DIV/0!,900,855.0000268,519.6149325
01-Mar-11,"8,444",8085.546954,4180.965457,,20.37996347,247.1143516,,0.000100938,#DIV/0!,,42.75000134,519.6149325
02-Mar-11,"3,273",3513.627348,5019.92463,"2,229",2118.568998,1298.871173,16,15.20000505,9.23754603,,2.137500067,519.6149325
03-Mar-11,"1,342",1450.581367,5140.428259,19,123.9784499,1759.374173,,0.760000252,9.23754603,422,401.006875,242.4077274
04-Mar-11,400,452.5290684,3108.069858,,6.198922495,1759.374173,,0.038000013,9.23754603,"9,036",8604.250344,4991.305467
07-Mar-11,"2,011",1933.076453,1658.163461,417,396.4599461,1235.171716,,0.001900001,#DIV/0!,24,453.0125172,7032.308458
08-Mar-11,"6,826",6581.353823,3026.17766,516,510.0229973,247.0137309,,9.5E-05,#DIV/0!,,22.65062586,7028.129249
09-Mar-11,"5,860",5896.067691,2993.876184,702,692.4011499,270.7412783,16,15.20000475,9.237549459,,1.132531293,4953.809846
10-Mar-11,"1,368",1594.403385,3871.45318,43,75.47005749,397.0167282,,0.760000238,9.237549459,5,4.806626565,2.232884099
11-Mar-11,253,320.0701692,2758.206627,,3.773502875,390.9718758,,0.038000012,9.237549459,,0.240331328,2.232884099
14-Mar-11,"3,008",2873.603508,3137.287939,474,450.4886751,462.9020098,,0.001900001,#DIV/0!,,0.012016566,2.232884099
15-Mar-11,"1,960",2005.680175,1812.824793,642,632.4244338,293.1379346,,9.5E-05,#DIV/0!,"1,104",1048.800601,637.3877594
16-Mar-11,"11,312",10846.68401,5617.449802,594,595.9212217,293.97618,16,15.20000475,9.237549459,,52.44003004,637.3877594
17-Mar-11,814,1315.6342,7918.270191,,29.79606108,112.7726691,,0.760000238,9.237549459,,2.622001502,637.3877594
18-Mar-11,"1,072",1084.18171,7901.934251,,1.489803054,22.18435717,,0.038000012,9.237549459,,0.131100075,#DIV/0!
21-Mar-11,"1,982",1937.109086,5817.221093,324,307.8744902,186.201349,,0.001900001,#DIV/0!,3,2.856555004,1.656360144
22-Mar-11,"10,992",10539.25545,5255.361858,482,473.2937245,211.606963,,9.5E-05,#DIV/0!,,0.14282775,1.656360144
23-Mar-11,"3,865",4198.712773,6515.182602,492,491.0646862,211.8823927,16,15.20000475,9.237549459,,0.007141388,1.656360144
24-Mar-11,"1,402",1541.835639,6692.242715,30,53.05323431,284.7515073,,0.760000238,9.237549459,2,1.900357069,1.150577456
25-Mar-11,150,219.5917819,4254.585552,,2.652661716,266.4148204,,0.038000012,9.237549459,"2,615",2484.345018,1508.674221
28-Mar-11,"2,143",2046.829589,2118.042174,356,338.3326331,335.3778895,,0.001900001,#DIV/0!,"4,812",4695.617251,2020.418392
29-Mar-11,"11,240",10780.34148,5481.821103,464,457.7166317,216.523,,9.5E-05,#DIV/0!,,234.7808625,2020.418064
30-Mar-11,"4,000",4339.017074,6687.972088,498,495.9858316,217.768515,16,15.20000475,9.237549459,168,171.3390431,1344.425205
31-Mar-11,"1,475",1618.200854,6799.264827,24,47.59929158,282.9520938,,0.760000238,9.237549459,18,25.66695216,96.56180361
01-Apr-11,253,321.2600427,4322.013333,,2.379964579,273.4918493,,0.038000012,9.237549459,,1.283347608,96.56180361
04-Apr-11,"3,090",2951.563002,2431.206019,594,564.4189982,436.9534268,,0.001900001,#DIV/0!,,0.06416738,88.53033783
05-Apr-11,"6,772",6580.97815,2835.808713,517,519.3709499,342.6673935,,9.5E-05,#DIV/0!,2,1.903208369,1.117653484
06-Apr-11,"5,869",5904.598908,2754.909115,444,447.7685475,345.4193624,21,19.95000475,12.1243008,5,4.845160418,2.108519729
07-Apr-11,"1,412",1636.629945,3429.581932,36,56.58842737,243.230123,,0.997500238,12.1243008,2,2.142258021,2.672857656
08-Apr-11,162,235.7314973,2760.730055,,2.829421369,241.6844477,,0.049875012,12.1243008,,0.107112901,2.427965967
11-Apr-11,"2,088",1995.386575,2931.943441,396,376.3414711,328.7027231,,0.002493751,#DIV/0!,"4,932",4685.405356,2847.43016
12-Apr-11,"5,864",5670.569329,2618.625716,30,47.31707355,302.5092387,,0.000124688,#DIV/0!,"11,534",11191.57027,4872.604234
